"Date","Site","Replicate","Extracted","qPCR","Bead_cleanup"
"12/12/19","Sebens","A","","9/16/20 AH","9/25/20 AH"
"12/12/19","Sebens","B","","9/16/20 AH","9/25/20 AH"
"12/12/19","Sebens","C","","9/16/20 AH","9/25/20 AH"
"12/12/19","Hasbrook","A","","9/16/20 AH","9/25/20 AH"
"12/12/19","Hasbrook","B","","9/16/20 AH","9/25/20 AH"
"12/12/19","Hasbrook","C","","9/16/20 AH","9/25/20 AH"
"12/12/19","Mace","A","","9/16/20 AH","9/25/20 AH"
"12/12/19","Mace","B","","9/16/20 AH","9/25/20 AH"
"12/12/19","Mace","C","","9/16/20 AH","9/25/20 AH"
"12/12/19","NC1-field","NC1","","9/16/20 AH","9/25/20 AH"
"21-May-20","Russell Ranch","A","","9/16/20 AH","9/25/20 AH"
"21-May-20","Russell Ranch","B","","9/16/20 AH","9/25/20 AH"
"21-May-20","Russell Ranch","C","","9/16/20 AH","9/25/20 AH"
"21-May-20","Hasbrook","A","","9/16/20 AH","9/25/20 AH"
"21-May-20","Hasbrook","B","","9/16/20 AH","9/25/20 AH"
"21-May-20","Hasbrook- no extraction, maybe doesn't exist?","","","",""
"PCR Neg1","","","","","9/25/20 AH"
"25-May-20","Russell Ranch","A","","9/16/20 AH",""
"25-May-20","Russell Ranch","B","","9/16/20 AH",""
"25-May-20","Russell Ranch","C","","9/16/20 AH",""
"7-Jul-20","NC2-extraction","NC2","","9/16/20 AH",""
"","PCR neg","PCR NC","","9/16/20 AH",""
"27-May-20","Russell Ranch","A","","",""
"27-May-20","Russell Ranch","B","","",""
"27-May-20","Russell Ranch","C","","",""
"27-May-20","Russell Ranch","D","","",""
"27-May-20","Russell Ranch","E","","",""
"27-May-20","Russell Ranch","F","","",""
"27-May-20","Russell Ranch","G","","",""
"28-May-20","Stebbins Cold Canyon","A","","",""
"28-May-20","Stebbins Cold Canyon","B","","",""
"28-May-20","Stebbins Cold Canyon","C","","",""
"28-May-20","Negative Control","NC3","","",""
"28-May-20","Hasbrook","A","","",""
"28-May-20","Hasbrook","B","","",""
"28-May-20","Hasbrook","C","","",""
"28-May-20","Mace Road","A","","",""
"28-May-20","Mace Road","B","","",""
"28-May-20","Mace Road","C","","",""
"PCR Neg2","","","","",""
